Feature ID	Taxon	Confidence
9d867fedf46428a7ce573267f43224f0	k__Bacteria; p__TM7; c__TM7-3; o__Blgi18; f__; g__; s__	0.9619215715216268
5160195f84737e25b15d7816a8c35aec	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Catonella; s__	0.9999193197170972
4c52f779af8b51630ab1e7e8bcc39e6b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9013996893140476
314eb2c3c11d80876b4d58a23b0b7a2d	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__	0.9999999820471431
66a884575fa07b700d56b1abaf1b3e45	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.9999974278266959
dad254e48102f5a58d06763c84bb7b89	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__	0.9995240228627836
3715d8e790f8c8eb942510c4b7ec32a0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.8208009168022928
aa5e4516ed6e69582e0c7b99cd0c10d4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae	0.9802251855666223
de1797b5ad94ca41f2b1b801f7cd1ef2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__	0.9997845309748362
c807c4c41ffe07b6dd936832f0a32ae4	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9864328110659665
536d49856c15acc682944c416dc7c328	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__	0.8857688422077484
97ae956b1d01ad6530a515aa36f3a71c	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__; s__	0.9955024068537328
c5e12d03ffe3b17e4f769970f04d066e	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__; s__	0.9903055516396745
c5b1554bea015f51bfe02b09dd941b2d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9587865567765218
8d7a6ad854f00c13d17bd246725926e2	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.9999791188539203
d6dfe9c07993b9576167ff981fc4d5fb	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9581333582005314
aa4d3b24e98e78ec90f962092bb29c1d	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__tannerae	0.9999999957583157
58381a1c28947260990f1060ab912ddf	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	0.73292784493531
62426be92dc91c448126a8e1973e226a	k__Bacteria; p__Firmicutes; c__Bacilli	0.824909148862134
f50829a601c2475d06f3b16ae78ed90b	k__Bacteria	0.999999672189801
81e93140d3889ac586d857337f11a2dd	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__	0.8582663244163586
61822bae43c206cf85c7ca63f2a6dadc	k__Bacteria; p__Firmicutes; c__Bacilli	0.8184617214816207
bed17d93432a3f926ce1c4af565b7e9d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.967268873902974
b6b643401651428cf71f5449bb10986a	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0.9991562824154336
a4086f2edb2f5afa860cef238c2aa771	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0.9995497560422669
6adcc88bda11fe54fc92bb604172eec1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__	0.9994206521581048
611c02eef423748ecb34c1487b84128d	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.9397173307073269
bb90a5f3ce85250b545cf97ab6fc511d	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.9280335556497046
4edafa0b06c50450d05e7d3292846eca	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__nigrescens	0.9938513538689714
03649b40e68f1521ecfb1e025f67938c	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__	0.9999999981963299
dc0aa2bc4a607919e7fe7073c54b7c97	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.9999279571506992
8669a4947dc685dd29f9c5641d755c75	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae	0.9999589176094286
b158516b4ea335bb602931d8ea8935ed	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__	0.7271638119030066
27b28552138ab4623f0ac2dd8e0cd70f	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__zeae	0.7972368996928726
1ef8d77a2b1c083dd319d2646cfd9a31	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__	0.9997235023553872
3a9fbdcfc6ce49c17326765085eb8f8d	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__; s__	0.7169134154304183
a9431c743050870e42c942be7a64f45f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__	0.8555558056044423
2a5add64f3135836da3b2b2174899a64	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__; s__	0.9999903272962444
b8294a441695bc96a2e13baedd142dc2	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__socranskii	0.9992480674578069
d2faef5afc1178a208e0ce99efaaab9e	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	0.9999635672772182
3489f10289b734e12b809ad28fc52b57	k__Bacteria; p__Actinobacteria; c__Actinobacteria	0.7376357059843845
7750efe346f5388d62158c4ddeaf1cd6	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__	0.9999957214227222
726ced17d05ebb51c25d70e90bd76ade	k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__; g__; s__	0.9999998104916765
65dfdb9bf1d10dddd57b3faba1a997d5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__	0.7281675723778921
cab1077160e45a4d39db8eebae84d686	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__	0.9999999853447435
beabeddff139b49943572ddb618612fd	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__	0.9949416087549771
ab56cc1bf8d715692b4560a88b9b4a4f	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.7389080197313086
719ecac12ce59fe0c239116e5e5e326d	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	0.7158467955191271
1f726faa99852529ea5a888c666c42c7	k__Bacteria	0.9983701921259238
9d8729ed4116da07e2b36b0301ba5132	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__	0.9999854940254477
cac9b08e0b7a64624ffcaf94aac6804f	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__	0.9999999981754684
2eaea482d5a637defb309404f310e220	k__Bacteria	0.9999996600450746
c59e4860542489740a87b823e8e554ce	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__	0.9708751328750629
19352b22bcc0c9a81f4ba41f403d36e4	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9868703200831701
